"Strings","Encrypted"
"Strength doesn’t come from what you can do, but from overcoming challenges.","/wlCpe0Z93aDLNXFN1lXuotxH7yKU8NdpxixnojU08qOxmFFGVhviXyifSSDk8EFS6wDhZ95VlWCamaX7mVuNonbIvsct4Pf43tjhRlz/lA="
"Respect is earned through actions, not demanded through words or authority.","o25kfBTXTyDf7aQU8uzAm/XRTUBujVG5yQDn9BY4MckBpLnW6NcTxlOpn84pqPlfQNmfQxK6P8O82UP3q6UFh+gVrf5rMNhZH54VwU3xuTQ="
"Every new day is a fresh opportunity to become a better version.","9XY+5+eL6uS5/A3gHrZ6uWsb10NEmDPrLYAr2WAPvz3ozZTa7592CcYuH/iDnMD5Tl48YY91WzSLDAaj+oHE0UmHUjUyo5ld"
"Motivation gets you started, but discipline keeps you going till the end.","9v7vPIF0ETJR9UR0ZLF7hEtnOBesUaZAAbjkMJo5ZxuhgNjpuo+Da7977nzowCx91+cFfvGUFNgLbPOtnOIFhdZBcogt69XiSwCJaV7wSSY="
"Listening is more important than speaking; wisdom comes from understanding others.","y5Xi0712yM4vmChT2RLtJ9Xn3CmkBt0JIU4vjk2H29JFc1H88qFTRQETefW7AbL1ooln4xRDWnjKX7X8QCsmdirMziK/xEp5E8jVlhVzOte7MN8zr4voVQ=="
"Your greatest enemy is the fear of failure—conquer it, and grow.","FIozr6Xwn99C83Uw2nUTqDd7Ijq829GLqSjnJDJS/nZ24IQrfsPnDOd3ARRCe0NKr/zFgCFX66YBBhSG+OHWGVjlnvLfOX37"
"Patience and perseverance will take you farther than talent alone ever will.","lKIVs3wcwqPtaA7LJqBeW7Y0ZgkNdcxLUMAmmKaGNLQuNszXDM4iY5TVBgzLrfO5m/e8ePudta60EQ8lEwZ7OlmkT6o3R1HD2M5W18znUvs="
"A good heart and a sharp mind are the perfect combination.","ugRmUIq0X70n0lBeAM121shuyoArrtRELIexGiajXkFLboQE5jEUkfR5Q5RvU/qTPm5vpDr0o0vq/f7ELdRqaQ=="
"Believe in yourself, even when no one else does—it changes everything.","9O5PqgD1bw3rQkPrA4dFOV9FTgfJ66JsT95X2WG8kYYxbZ6b6JAaOa8c/bdnKjo+sYVYug3o/JW+u9xZkxpuJ/caXWLwYdo7SYdSNTKjmV0="
"Life’s greatest lessons come from experiences you never expected to have.","GNgStpoTarJ6z+InMP50GMVU4BOje/6EgfGce5skfl84VmKovbsHSCzfaMufSkcEVMVvUUJNYVLWTwFEyEnI49W3Bqr6Ntkb6cvioxeOBmc="
"Happiness isn’t found in things, but in meaningful connections and experiences.","iZZvsx+yGtOMjmR0issrT1lDMvQfVFATPi6n4lS7E15P0JvWXiQwe1ugCfVOD6j5dnpM0naDMXoSCyja7uYIc0iKw4ePjTA7fy8REkyoBTBLAIlpXvBJJg=="
"The strongest people are those who turn pain into personal growth.","N+j/oIxC0iewqAGKcUqAlD1GtROF7UjUMn2O70FwY5cBWDoXugNQUwwkss3NfO0/kpyKv1kcwgIiBjK+po/DLmH321uwVOgK"
"Hard times reveal true friends, while success attracts many temporary admirers.","G2memHIZ0iqEWoPl66vgJhlYMDxqudT2Ig6lSfJ1fqVBAZUfuASIf3m7rjyvvsXI0j/29ElpW4/nysKhQwzAjNYXm77IhSCYuYZRN1thHrQ="
"Words can build bridges or burn them—choose them wisely every time.","AamYurkZ01sXAttqhd8qpvhHCyo5gVTti018xky9Flx0Bj94P+KG1hOxkxZEzeLWGjWvuugf6/7r+vPi4x6bbYlOBzHDyqhY"
"Every day is a blank page—write a story worth remembering.","qbE8u5qDyLyHr2EOIgyEBIJPgXyVK2JcRn/lpOKdy0q2SE60rbCGNBS8VCwpNSTGL5mSsTuav50cT24beKp3gw=="
"Don't wait for opportunity; create it by putting in the necessary effort.","pcLGUoeDkYC2SIBefz96pCu1brezMF4/u+Zor/zaK1ia/FxdT/0GtqSqjni8jgyDkkOBSIMaPOixNjGdTtSoNHeqhL1XMnX+SwCJaV7wSSY="
"Intelligence means nothing if you lack the discipline to apply it.","2O/FamN/dF7huCQjGuACTEfpEGTIkqciUL7dt3+MYYv8cWU49F6ZYoGczvzwyxFtciUsFZNLcjpksO0daVtoqPvkkqSnoLUw"
"A life without purpose is like a ship without direction—lost forever.","QC/+YeQG1/RyH+546DCm/pLywJY6YgiMrIU8URhADxGZizSl/XONTwNWDneNHjRqtiLMAe0iph+iSthzA/XQn3HvoyHYnnqO"
"You don't find happiness; you create it through actions and mindset.","yCSkzdgCWhmjwjX4eaf75LsbkhCUZab1nNBX7dhlS0kVGAHZ2mU5y0DZn0MSuj/DVKemhO/UMrn3y2HrZ4JivD8dTLpCaf3Q"
"The power of small habits compounds into extraordinary results over time.","AybzfrQ0y+3GWy67O4nrUOOoyGDXPtgB/prMocXX3VPgb4x89poqgBLP4gp0908M2WXqFbcGM+IyrB2REvxozDXGlcSF71WCSwCJaV7wSSY="
"Great leaders inspire action, not through words, but through their example.","fkO0Nmk/OpGqMUWOSkHb0efsWuW1oC4XoHDNVzTO62xpisl4fFDNCEGhyvYkOxUYyYeEabmfBv+np35BAh/jRiOJrH9Iz9imMpwO5o7vnfA="
"Struggles make you stronger, wiser, and more resilient than before.","5ZQQLVK+CDFb9Bf5wIZTO7qUFU4NHVh1XhdnAqeb3tCZ1AuV60MGKQyzsvhauTeKq3OHAhvqCTScLL9l6CVu66XZNvijXjHG"
"A journey of a thousand miles begins with a single, brave step.","GFWfWnIliiAzXSsq5P91FGnb7BzQL/xw2yT4SXwEcFdtcv/h16o1nR8r9tvUcyIXiEQvEmKbCbcGWXkOtFny5w=="
"Time and health are the real wealth—don't take them for granted.","ydc8wZxpGVGwbJZgHGwEsnWSeW4ljzolJCJCQC7ORgZ0PxiA2hU4+DmEkExEeSDYdAuyGNmtD+nrty3oMarQWoUnVtY2fnjy"
"The best investment is in yourself—your growth pays lifelong dividends.","L+wt47AmmiKvhWhg334BE9JFJbCsKW7lzfWgOtf4IjdOf+geSyTFLLPHIJkNx8CnrdKshQqH3s1gQmyIyxDpgN3odRrEh8y0SwCJaV7wSSY="
"Your future depends on what you do today, not tomorrow.","iG5esjUBJaq/IpNSYCBWk1IUqzYS7q/JnKreldVzyDfOi3JVzZUZwahBtIixKZwZSX1Ac6D4oP0="
"Growth happens outside your comfort zone, where fear meets opportunity.","HKdKbSPVBBDzOzH2xVDa6JZYxcgLIc5OtaE1S/2IB9FXgmkxPhxExjfyn911l00FbgAau/GXFt820wavtGEk8nCfsUQkG9W8"
"The best revenge is massive success and unstoppable personal growth.","L+wt47AmmiKvG2i4qjhZ7w+A6aOAdUlJ76iokO3LgKEwcUuDF9AUhzs9GKZ2u6Vm4wwGHKZl0Ri8mjg+UZ9Ng6yRQODOuszQ"
"A failure today is a lesson for a brighter tomorrow.","ZfB6YhhqzHLa1lq1SKS5QUzIcKRRnkgA6qdZDZhWVduhiPZRW9oZ0ILgnDZMd8HrZumVFsxE7hI="
"Focus on the solution, not the problem, and progress will follow.","h9aoAqYBUITy1gbcnr7f8wYYo0b2biwwEM+bSzOewRouZ98EEDdHi4jmIrud0qGYnlp3rN5ASmRZpl5y8z0cnUsAiWle8Ekm"
"Courage is feeling the fear but acting despite it anyway.","taK6cONJAA4NYbYyiEBpYvlklM6YnSD/BkHrj6HRa1UAiLh/OcWQwF/UGOlWqkGolhEtVPDbE0NLAIlpXvBJJg=="
"The right mindset can turn adversity into an advantage for growth.","VopGz3FUA1RI60LtKYF1mV9Ah0DvjaqYohBsuFBir1oEbbXDZe8vsRfWTGxfOhcSDuNEmMA3E+pxZzqd9nsw7mH321uwVOgK"
"Life isn’t about waiting for storms to pass but learning to dance.","c8myAeowKexj2UkNxmvm8BX8YTtHq5MLCxLeUhZntcOysiFuffSG4ST2cA+SEPrenif5qwZQN3efzwXcSbtAF7jQFQ+XHd91"
"Love and kindness cost nothing but create infinite value in life.","9nvVWn2MiSoc5Zsaw6AAq3hapyKWZyk9VoYlkcWLB1MMk98JLOBD7YMAph5qoUI4pZndFlnz8fPEP8Doh+xk5UsAiWle8Ekm"
"The universe rewards those who take action, not those who only wish.","jVKlLHN0ten8vFlfHejwQAsPwu5Y5HVNzEbHMar3C9xSH17MG1SS396QTRk1suGjyigXJR1XgF3pYgp1fudoAWMVh6vP2qB9"
"Wealth isn't measured by money but by the quality of life.","Wvlz72XTv0W9lrW2uwf0/S24rOsVPBpFS6AWB+kDIx3i/Q+z902+i+ICWoIXTqbAyosfS2DGbwQ2/xMWnwwuvw=="
"Life’s beauty lies in its unpredictability—embrace the surprises along the way.","GNgStpoTarLCErA6FMc470G62tBwn6DQPVD9usW2lY3gicW9R87/UnTT/T+zSL34Qg2Ezrnya4LvQUuOIXpV7AE6bO/6dNJoatqua+XrkNojMDOxrkzJ6g=="
"You are the author of your story—write it with passion.","//a6aFACOzsIoo4WFsIDDvhsnHP1BaaFH1vhuPIikl+i4V12yyCg32EFWGsHjsu6JMDjid5i85JLAIlpXvBJJg=="
"A dream without action is just a wish waiting to be forgotten.","M+mjOtVgmMlIEOkOHhdv5JREcv5fonU26UuOcn9vDjDHS7cMoY8VW+uB7NZ+Hv4r0fS7il1b+bFKIs3abig3+g=="
"A positive attitude turns obstacles into stepping stones for success.","+fv0/4zz/lMlkyX84rBGfSqEDX476OJsLZ91i89BKkyf8dmgcynzgHCSBESr7ktBQs5vs/XW1L7YIZObvY0Ji6P117w5V7Yg"
"Every expert was once a beginner who refused to quit.","1AUH3q9FX4CGLJXwgiLIB2XDL3CgPKHTBuWGkg1O1j4/BhuVzizFkOacd4X1QjMR+dMaLCNmRMc="
"When you believe in yourself, others will start believing in you.","m4wVPbEPhKvbLYdf4yXZbwIvYWwdUog7i3bEbpYLvTSqddCdpIchVEuQqAXML9GAY3z+eRmCIrx6y+fTjcIuY0sAiWle8Ekm"
"A meaningful life is built on moments, not material possessions.","z1i4acIIMWz9mShsieGuWLoyFGRMqRInps7L0sYEG58ZcMHe1NSU8ee4W1cX19cRYNKkmhbhAMddhglOkyvweUmHUjUyo5ld"
"Don't fear change; fear being stuck in the same place forever.","qVAcao32z7UC+F6msHiBlRIUBAS23KCD1VTf9fXrHe+UC+UcBJ+Ufk7Mi9Ny+pU6AiEDuP2fN4XnFEVzNYSrkw=="
"The secret to success lies in daily consistent efforts, not occasional intensity.","NyI8a97LemZ7FB6i6sKt6FJw/WS6+3LH1ERE9ioJXWZagWSIkBTQs+1AmOnA6vg82ixWl/G8jGySdEluR4BGusUX5x4ve9UTCKi5nk9xxCRLAIlpXvBJJg=="
"The best gift you can give yourself is personal growth.","L+wt47AmmiJ5KRHNIMnApGWMIKxqqKweFGxJnBGu1II4hoz6p62FTkct4/pDLIpq3LuJmH+TmVw="
"To achieve greatness, embrace discomfort and push beyond your limits.","lgLeJe0YHw12A/qpQzpjJynhETO15w5waH8aSbdOVYLj7kjf5Ms6H5jLBQ30QpFHKn9G8aDAtn69DpRo36uRsJ0igemsiZDk"
"No one remembers the excuses, only the results you produce.","kxAY4ZOaIqYGBSGmRWfnkcDq/Nt16gsxh7SNqgtJc5DolIh/VH7x5jMSkTgsmtNt0yDYVK5ze9+cwMTGkeVA0w=="
"Learn to embrace failure, for it holds the key to mastery.","Xh5N747cQ1+AjstZ5Qy3HXMe30Z+kEBi6y+SHdZQtP8COD2QGClcnG7xbwfbkorTDLcqUoEiIUMarezkjzmLDA=="
"Do what scares you the most, and you will grow.","dSYtYUbYRZdBPiYZb650N9J8X95Xr0P9BhH+8a4LnlswoMSAJ163wZEmakR8Wmlp"
"Self-discipline turns dreams into reality—without it, success remains a fantasy.","nxirwqvwu9MWVlmw0WfmHws7goIixFIEK+Olxr61sBOyd2hjW3RIDDghu42DYE9ABoxk2noR3n7ScLuxZWN3SaKCyhmmQLXHpplygQuDmp8arezkjzmLDA=="
"True wisdom is knowing what to ignore and what to pursue.","pJcGHyo34XdoxM8bS/o0+f8FtuBTPPiQR38+1HUg53KtXj6FTb2EYUcRGx5i7XFdC3+bJ1zJEM9LAIlpXvBJJg=="
"Nothing is impossible if you're willing to put in the work.","eu1qnJivzd3Vkq6pTQ8fjO97DAq8xfq1W92IdaH9KXxt/3P4NG9cgChKV7XCV2q2smVcqBCUkuqCvHZJGth3Qw=="
"Speak less, listen more, and you’ll learn what truly matters.","V0cl6xtGE5Go1r1JuZInWALW98UbrOJJCF1Gm0s33qgUcOAdTAXq/GMxSpBy3+QKepf8U6LyYZDHDenoVe1f0A=="
"The most valuable currency is time, not money or possessions.","vbTJYA6MKLaaGLXc1tdSpfMrdjuOOkMgRy7SlMmYGR3Z6RjahI52svkKslK10MQizKvaFNHDwIa3FC2g9imqjw=="
"The best lessons in life come from the hardest experiences we face.","L+wt47AmmiKCASi7h3WnD8Q/wOiH7GTl3HEO7gXQSWcmfdH9x7HocA3aoA4fjh3C0lU7jEowf8zEXcWSIT7sy5zAxMaR5UDT"
"A wise person learns from mistakes, but a fool repeats them.","0jCsgWrfFVk0DIYELKKaeQX7uKXBnf9yoF8tAP0AH/awzppH0q/sL8kwNEQzW/KJiLaRihosmw6PxhZrAiyv7g=="
"Your words shape your world, so speak with kindness and intention.","Qrc1zm6vP9Ymwc4VcdUBiKTMsHrX0cYZVKb4LwsZFqZxwOLKzAEJcVWMotUMJgNbMHFLgxfQFIcXvtpnxH4N7ur9/sQt1Gpp"
"Life is too short to waste on negativity—focus on what matters.","3Upb3gy3x98gxfpRG2C1Yw0HtIUtNpYugJaBs5sZAm29eQNV9+Mylkx50LvrYcTCnh2V3/WLqUfeJzzcj8ZA20sAiWle8Ekm"
"Your potential is limitless; only your mindset can hold you back.","LSq76gfiweWDlV+PMbvZ1fEbPGfV6T/Mlo1kBOEMjbrUE/NuNhhVeu50P/Bvwc3gthql0yHoBCLm7xaI0KgWJUsAiWle8Ekm"
"Success starts with a vision and grows through action and perseverance.","IhY0UIW85RafGWlyx6+ZCCMJCsonXidLr47vXBbBZqSJrWmzSFI14oYBaMPZPmRnJFZqS18e2jvXUbv4lexctaPgprv44/Zw"
"Be patient with progress—small steps still lead to big changes.","O4OtH1T+fNIMqfEUwKRA7+AORg4UrdIzjV5KQbDarXAO9NJGfxYeYBtQhB5lWdCZBPlbM6LQE6AttbqNtD6/8ksAiWle8Ekm"
"Don’t let fear dictate your decisions; take control of your future.","i1CK74KXFpBEGqFlEFmjzOKbCpy7qC/A9x0nDOe5Xc+SQAjluBPj3HBrPfk6KaucETZTMPZIwjPuIDkPrTMgEeAaWiICB3AD"
"A peaceful mind is the key to a truly happy life.","Ad4BjsHspggGQ+NIrTtG9bcFssTPD7VZfvYkgY7JGlTYndtCFcRrjTSnam1J64JISwCJaV7wSSY="
"Never underestimate the power of a kind word or small gesture.","mnVFK32Y+NwYPtxyHCaBBPQ4Mc6yRhUZu4X+9hs/n/gPfnTIRK4baRjsCddYgVwjUo2ih8Pzf+cOvT0gqsMA8w=="
"Focus on what you can control and let go of the rest.","h9aoAqYBUISp13+4KqRNyjYOiqYCi27SvmjnsrtuIOuWvrxLjK1NmU3bxOgg+7wcbbRCYI4y2Xo="
"The only real limits are the ones you place on yourself.","Zuw57XcQKPzbufJY4STcaDWJZz4k2n5cNn7MvnPCpMx1dMvJ2npAAxOap1OxVoDIyXAewEKUVeVJh1I1MqOZXQ=="
"Invest in experiences over possessions; memories last longer than material things.","6hsO2CJ6Gd7uqjRbmRak5SR6XwSSuJBnA7cVL/ZxPTH19J2FsdRMwn7hIAOOG7EnwDJ5BzZ8rkG399jaLM4yvSs1+ejtYe89IaauGqShcpO7MN8zr4voVQ=="
"Adaptability is the key to thriving in an ever-changing world.","ZQozf4F0eeTosM7/ZbeFN7ARhyeXnb1yv6WYqhLhMCsZE4I5CKg3ok6keGkNlR9rsVJmB7Nb5sJ/e60YlHnNww=="
"The road to success is never a straight line—embrace the detours.","M+QviRIFI62klzLwTXbLlCcNeTqwQruT66sdISNHJT0vzp7B8gRSZbJRLgE5r/gIQg2Ezrnya4ICOhy0g4l+3YkkHO6g3ln4"
"Every failure teaches you something new if you’re willing to listen.","wzCxka+nj7lgtQcyZyzXMAZACpx3JEmFpdu/H2nf2abcLgVywx3no6d9Ny4R+1FzEGwo9lG+/TGtzH59SgxZ0yHIqBZvG0CR"
"Focus on becoming better, not just proving that you're good.","h9aoAqYBUISeNuihONrVe0lMPEeiLTKqx1PqGMlsuiO2LncE9XTvRoqZ9cTVdQFcTI2GNZfNJHJcWiYPUab1QQ=="
"Your journey is unique; stop comparing it to someone else’s path.","tUWX6mhXqE3Dro/EXAG9bctji5yXS+zzQfXuUN9IAK5KkJ6DGYc3JPGUgg+vb8uj6B677NvWfWCObaXAiFPCNdALoJqu9WN0"
"Sometimes, rejection is just redirection toward something better for you.","wsi738gG3QhOr9kx7+UWseNGJ7KUu1BQgxmXnYcVWNCEN22/FGUuLxhRjrTmxNdnq1oT43YZcbJJTDxHoi0yqsy8JbyiBBD6SwCJaV7wSSY="
"You attract the energy you put into the world—choose wisely.","QpzObJ1wQehPR23uREv8OU+/MYUn9eQUBwVE+LFsujCVrmfqtFZde/z1xkpMlAZno4+Nxf3fLcBQEFEQE98Twg=="
"Learn from the past, plan for the future, but live in the present.","fqvaKGtE/G41pbpMFjlFXwk3I+C5XV6n9tebXHblRpdyA6Ypg17/V+/aSMsZ5F8sxIsENQUMW6r6N8HNwYAlg/vkkqSnoLUw"
"Success is a series of small wins, not one big event.","IhY0UIW85RaYJlxNRHcUJr2tz1kbhbK0sdHd9KnfBAGbEUXSDuXf5zVwxRJtssj1n4LoF7YKjfA="
"Passion makes the impossible feel achievable and the difficult feel easy.","xqnn0Dbxk0Awd8tj63XvL+0Sju3AYwkEoKkzSyj7GJKLCnTqo+jO3N51Ke3Y8LPHGeLfDyYl1HHOcWakmijZUMN7G1g1S/M7SwCJaV7wSSY="
"Speak your dreams into existence, then take action to make them real.","uGADAIfosRM9ijQQh+GTsdZtgZqdXeKEPw/wYNSHontulFj78QPtPlIfXswbVJLf4NYk4TGW2DeMIFUjQhS3VxCjQw2adUNE"
"Sometimes, the best response is silence and letting actions speak.","wsi738gG3QjvxKA17C0rk/hxuK/MiQkh/R65XaEbd9j16g+iKMarhW+54PHWE0sLVt6Dw3M4wFGHzi+cIo9jFAne3EIhwR+s"
"You don’t need permission to chase your dreams—just start today.","oZgNge15S+9CKD0hMhQl4PThICb03OXBgcR+D6uNCXLl93ygXxjjZsW5Nl52jGDfDyIZ3FWDPeh18+erlL4l7Z5KN7xPAPVW"
"A goal without a plan is just a wish waiting to fail.","YaJnnEwAot3KZTM+tE1KMNfByoZHQUtGwW4/m0ez+Pe5pVZv9S1zyzUPNglHKxVFk3R3AvC3KRo="
"Knowledge without action is useless; apply what you learn to grow.","l7FPUUgsG7SLgyNGJ3dW/eEKAh6TCVN7kqvPYEYbD55Y8f6OWoWq6ELusXLyx6tNISIMwOTKMZtpaOD8jdH6JVjlnvLfOX37"
"The best way to grow is to challenge yourself daily.","L+wt47AmmiK8xTc6yvWvih05ElH6MQxu4SapOsTQ+osx6oSjrolsUEbe+2eWNyVgC4l1lJAd3T8="
"Real strength is shown in how you handle your weakest moments.","3NsgQG6ksdOi7QAz7PRqJAEHZuo9TEFm4j33fL8r+grN0JfPYOPltsBzRCWeu+VIkXmSq0iRC/XYCBL7lSlneA=="
"Keep moving forward, even if the steps are small and slow.","uT0zqhhZYrO4NI0U8WcXU8BUtS6RfFTSGPF06idYrn6NRYdBrvhAEdbeqhHvdwiewX47rMw3UwpY5Z7y3zl9+w=="
"The key to happiness is mastering your thoughts and emotions.","ZXUb1B+hLfK2XrR8JG/r3desVrblc6Xe0RAMWYRaucqGHVrrZ5lRvFYm9I+KEz24/pSEdkiHQZG3FC2g9imqjw=="
"Take care of your mind and body; they carry you through life.","7/8bXe3LmcA+cYg8IT05+sc/Tn3CkRlZ5o1vdzo9s9OYrstosXvpv//y/dou+K3zQNmfQxK6P8OW57IBdqUqVg=="
"Sometimes, slowing down is the fastest way to move forward.","wsi738gG3QjFj7nDnywOxmlusXWzfgbssNEOPe4jIZ2HdcDqOKNsgMPSTUnizhkY1fdtCj3f2DML3u7TodDCtA=="
"The world needs your unique talents—don’t be afraid to share them.","4CqooQKNMwsteRDLqcPwYsOiZnZWIt+3Hkn+W42OrXMgUKTxUZ2GsVKkh9DlF2JBRbD6PLAKZ6E6xGw5gRjYDUYCM8Tl4iFN"
"Stay humble when you succeed and resilient when you fail.","03qaA2E33yLeC/pQOZ6vFTY+LtnM9UnJm2519Yhhxu/C8+I4yC0fUUo9vRMWClsb0PcUS5XP4OxLAIlpXvBJJg=="
"In the end, the love you give is what truly matters.","CXjQNgAfy2tKvWhywVIsqPqn0EG6VM0uJ7j7d8ft8FzGUNXZ75/0LT7/RMVCjJT+uuFedoYTPF8="
"History teaches us that those who ignore the past repeat its mistakes.","SWIcwjNMQhV3QRW26J9Sy7TZZJAyKnlNyigXJR1XgF2Qt4MoE2v55rPUdMIcqZ+F44cm1oSoFXC89dTHzQIJhGuBawYzhjCi"
"The greatest civilizations rose and fell, proving that nothing lasts forever.","LAX6Cxwlggk+DGrHv8ZO4zI9hbwVWGMsJp8JjMltyhn4Qh6JY6zSsFqBt1enKG1eHC2itpLYYSFAe+LPvzBVYAc9E+NNJhcuOskizji8mm4="
"Every revolution starts with an idea that challenges the status quo.","hCxoXPQFtR2qBscId55W6uOQQBf680zGlSy6bZC+UDD49nQC8kzMorcLnnqGtXI/kFoZ7I4SsNvx+IOyxhe0ASk5BUqR7uWe"
"Empires collapse when corruption replaces wisdom in leadership and governance.","gKCN2sZymgCg+5vxVFCcBSR7KrgVDaInwaDrRdnpakvLDuQSMaAE1NJpZSnSEkwtKEercUFsj1OGxheX6Lm2JAX/iqyvXpnsmWNLSO/YQbo="
"The victors write history, but the truth often remains hidden beneath.","Li4LoErlZcuZW2X6EORd1LNwCsFWR4Fj2qosa3MRfwKlp3RVznMbl47fhXan88JpzCJogNNL9gSg87+Eb/MRhrXxDLOwN7t+"
"Human progress is built on the successes and failures of past generations.","XtbavoNG2ow0W6m9PUdy0nQrRWTLgg+n6vnEgxyMTW9oO8I3zo6nhvLxO93mJBvfxUIXHRLPxUe05fmlNsoUjIOIoy7VMbi+uzDfM6+L6FU="
"The Renaissance revived art, culture, and knowledge lost during the Middle Ages.","/Z6/PjivL+YUJqsyz/iloldFOD3iXRDFyjEcJmRDlPpf23lXQ41y/uZxbQKySFZUA44N0BAOH6l+bHXj9Nldkq0AEFwFDx5p+6abwOyPMppJh1I1MqOZXQ=="
"Ancient Rome’s laws influenced modern legal systems across many nations today.","XWUl37fJTM5peLF9gcNTr8ejU0TftvLJljXKszpjvPpGZ2oF/6MHDvGsmssE43UhRW56eIKfPEu1/zu97T3C6YfM9V5g5lDDkMF6PGH4vzNJh1I1MqOZXQ=="
"The Industrial Revolution transformed economies, but also widened the social class gap.","/0ZVp1iTiutK5IQURVAqm2iAcXBRcPmFwqmuSGYTnrFmXz4uw8DLUWa8b/zjKb4yW0rK6oJSMsmKViGDgwmps4F9cbGYNVvbMJSxjzZ/6ujJSBEsOZakSg=="
"The Great Depression reshaped economies and changed government policies worldwide.","WL3JgIg9KEU3mu0neIT7ISwInnzHHHEM5CC0BdFUUDxXS+VMyIOtIDqeIpD9UEsywyBhF5iR9e6X1QhH9RorKhM98GModFUDXhxLXSCj55k2/xMWnwwuvw=="
"War has shaped borders, but peace has shaped civilizations even more.","hjb21QyPdKPCrtfiakiJgLLUNQlVtvDdr/ZIDBVlNd2hW8j+361AuMY0SUWdMv5RMj2FvBVYYywa72PSflO8hBiTHBaJD/Lf"
"The fall of Constantinople changed the course of European and Middle Eastern history.","ty72IkZGrPqu4kghI9LpHGYa93kC7HU1oosqUO6Qj6ovDbIPIcB8Vd8nUe6BQEbdRFsLw6CcqW7a9b0U65LihKWrEWMv/kIyv2P1t50fSpcgKiWBVEevsQ=="
"History’s greatest leaders often faced the toughest opposition before achieving greatness.","MEZypyq5o6UUJW1WZMMbalJS9iVr17hZcN0N1MiCOjk8PUk0MgarVGw702VBFMvCUvCZKnmvnq9cGaW35FdzOufh2mmKr7WzZU9sRVoQxlpQuU4OwEoohi6gbCfBMslp"
"The Cold War was fought with ideology, fear, and political maneuvering.","eG9dRprRrT3vRqoomC0XVsXmokD/Ci1Lu+tnybjS1DhpJxun9HPKQf/CT8t/N8WalaqRyCg+3PHZBxIGGeeOh6D5ss2bYZoG"
"The Silk Road connected cultures and created the first global trade network.","29c4ocgvi304felzCTdNy7LG6LYpfhccUy1e7vEVCyWLBnmcwkDTEwW9kEE2Hd5U3m0nEFlzT9crgTk2FzgZj7RlcSJ9YePTB4uksN8a46c="
"The World Wars reshaped national boundaries and changed world power dynamics forever.","56+geyrOaIrUOJKMyFkaRTDJ1tFNYz/cmapWekRxjdIuHdRLAV3QfR9bW4dtbxxZk86vlA8Zrjr4GjjCDSwCXm73fKasVFtkY3pGBvHTwqw6ySLOOLyabg=="
"The Great Wall of China symbolizes both protection and isolation from invaders.","WL3JgIg9KEVjzMtlZzZgtrPbXhckNBsZRaMNzcX65E4uWW9s6MxGnHJ99O4Xq31YlhVnopbuqPdzlvAhptI2Os+CZhw9vDGuGw/ELpfa35o="
"The creator of ChatGPT, OpenAI, is teaming up with another US tech giant, a Japanese investment firm and an Emirati sovereign wealth fund to build $500bn (£405bn) of artificial intelligence (AI) infrastructure in the United States.","Lb0sjyLWwkF6DD+6pRVs/olPFRIYvT8iPVY+OdJLxy5I0vhi9q6jdWLrWBoGvTILlip4Bh1SXPi9c5RBe6vonpGlKCjRFv9FYpDGpblmceYY03zji4yyMZ0zc0SQGiDTvlnWNj/X2KrIHhn02dGZJniFMu30Jce8/t3YOy+vOc1J/zMj8Nrd50I+KA4suJh5jO84/dcdYscU3rXpOq/bVBJRkxXlVguNHMLbZhYlbeJFgWPh7xevoJrZ7oGQ/9BwVlWB1sEiQr787e8yTSD6jYbzXSIbmjeYbk3C1H8SWp0+cPHnMkt5jUmHUjUyo5ld"
"The new company, called The Stargate Project, was announced at the White House by President Donald Trump who billed it the largest AI infrastructure project by far in history and said it would help keep the future of technology in the US.","HsTCvwCNc5cr0CWTyNo0dehWHosxQqTW/mG3BrJJt7547M2caylOH5Gjr+almCQ23G0w7exQBaqrspAyFY4MGMi6LRaCSNFaHhBsTGU7Y2wkzmNa2HMH1C5W5z3W9em9xR8POiR69G3GDWW/uaPhaWIxjUQjF6TDYVivJJ7kygqJxxkBJ1zNdVR89tYftCuj9GYoIqexOFW+MrPq6jryptRSKknMr5EO1P+QL/5MKpb6M71/BfF8OgchWM5iMakgU5zyRx4OaRKsZCwc0IQNy5xotWuWrMUGloXQATxgiU1MwxBQTDqFG2xF2nnaq3ud"
"But Elon Musk - both a top adviser to Trump and rival to OpenAI CEO Sam Altman - on Wednesday said the venture does not actually have the money it has pledged to invest.","OWdnog4FO7v0jpUdYp85YLeaS0FUM+o0Mre2asXz4+edkthMniBE3h9pOHoqfFXqLv7GgxgM9hsTxCZEglvKVJOSIFeubb5+yYcUIEQsi32SZYurb/qsZ2chjazC+lLcEWeHmPLSHDsucYgkd+/I861IYySsK5RHfCN4af4X8hzplyQ3CPlAFudRR00TmvWd9NNZ2SC2KBXn1LC7ihVKKgOONsNtSSr8SwCJaV7wSSY="
"Investment in AI is currently exploding, driving demand for new data centres while also raising concerns about the huge amounts of water and power the facilities require.","I743vZqQtItvIbB7+QdPf/BILEyDAnw4saJGwkkZm6bWz25YaxIZATmvvQGW8APCjxUm4hlO9iZyFfUWlVIMapaHhunR9r5FGMkJ+Kb2tSLRicHrz6CXugCYLLnTVz4Ipop3YemYxpS32Ngw2c/81dZwlLsoNgS5nj8OK2P+kRpF0j/P7BCZ2cja29hlXVmZNQJdCwSxo4YcOg6FeHkO1o3chxv1JBtrNv8TFp8MLr8="
