"Strings","ECC_signed"
"Your potential is limitless; only your mindset can hold you back.","b'0D\x02 z\x83\x9eC\xae\t4NN\x05U\xd8\xa0\x19\xbb\xd5\xcfZ\xc1x\x1b$\xae\xbey\xce!\xe6F\xf4\x8b\x90\x02 @\xce\xb24d\xf8\xf2\xd0\xd6/M\x9aOD\x1f\x9a\xdc\xf0}\x98q\x80\xd3m \x9dVdR\xf5\x1a\xcb'"
"Success starts with a vision and grows through action and perseverance.","b'0E\x02!\x00\xefR]@\xf2/\xde\x99\x90Y\x81\r\xb8@;\xc3/G^\x9cI\xa7E\xec\xc1\x04\xe5$\xb7?\x9f\x07\x02 C\xdet\x04\xd7i\xc6\xf3\n\xcf0#\xe2\x06\xcc\xbb\x9d\xe8_\x8b\xba\xd9\xf4\xf2\xf0\xba=\xbf\x1a\xa9\x16e'"
"Be patient with progress—small steps still lead to big changes.","b'0E\x02 \r|\xff)\xd6,p\x80j@-\x8bV\xc4a\x88"">\x9d\xbcm\x85\nh\x18\xcezV3\x7f\x8af\x02!\x00\xdb\xe4&\xde\x8d\x08\x9dS\xa8BC\xa9\x9e8{\xdb~\x16\x88O@\xbe\x12<\x08\xdc\xcf\xf4\x1f\xcaw\xad'"
"Don’t let fear dictate your decisions; take control of your future.","b""0E\x02!\x00\xfe\x9f \xa2\xfa\xbcb\xb3\n\xc6\xcaa\x9c\x8ek\xf7\x10\xec\x1fR\xc2\xeb\xf1\x8b\r|'\x9d\xc9B\x00\xb7\x02 s|!\xdf\xefj9\x92lq\xaf\xfc\x8a\xb2m\xe2\x9a\xbd\x89PC\t)\x07\xd1k\xb0\xd1'f5\xa3"""
"A peaceful mind is the key to a truly happy life.","b'0D\x02 E\xc86`.x\xc7\xc2b\xd2\xcaw\x94v\x8b\xbc\xd0\x91\xe0\x01\x94\xe9\xbb:j\x92KB\xad/]\xfe\x02 \x05\xben*EG\xc7\x91\x97B\xa1\x94)T\xac8\xf2\x9d\x02IQ;\xb7\xa0F\xcf\xe5\xac{LT\xc4'"
"Never underestimate the power of a kind word or small gesture.","b'0D\x02 w\xd5|\x85\x00\x04\x94)U\x03\x02\xe2|\xbae_P\x87\xe6\x06\x13h#-\x9c\x11e*N\xd4\x87\xf7\x02 Y\xff#\x9d\xc3Z,eoF\x1a\xf0T2~=\x11\xdeYa\xd4\n\xb4\xc3\xea\x92\xc4*\x8aI>6'"
"Focus on what you can control and let go of the rest.","b'0E\x02!\x00\xf8\x1a\xc2K\xdb`\x9c\\\xbd\xd3\x83h\x9a\xed\x95\xc7\xe8\x86\xcc%\x06\x8d\x06\xc8\x13\x90"")\xf1\xe8\x9a\xf0\x02 O\xeb?\x88-\x8f\xc0\xd8\x03\xb4\xc5\x9b\xbf\x9f\x01\xa5`9\xc6\xab\x11\x07 \x8fxF\x9e\x04\xf0\xb3\x18\xa4'"
"The only real limits are the ones you place on yourself.","b'0E\x02!\x00\xda>\xd8\x05\x8aJ7&)\x1d\x91\x0b:XiJ\xe2\xdd\xbe\xb4\x80\xf1)q}J\xa6\xac\x1c\x97@7\x02 u\x80V}1\xaa\xffD\x11\xa0\xbe\x9f\x80""\x99O3\x87\xe5\x1d\xf9c\xe5\xd0\xc6\xbb%\xd2$\x8b\x1c\xed'"
"Invest in experiences over possessions; memories last longer than material things.","b'0D\x02 `\xa6\xcd\xbcVq\x129\xb6\xc3q R\xc4\xc2%c\xb6\xc7\x16\xc2\x8c\x86\x8c\t\xb4\xc1\xa1\xb9\x8e\x87\x07\x02 \x0e\x9f\xcd\x12\xb8\xfc\xc8k\x8dU\xe3\xc6N\x0bL5-k\xa5C\xdb\xb9\xb2\xfd\xb8q\x83\x12\xdd\x93\xe7\xc0'"
"Adaptability is the key to thriving in an ever-changing world.","b'0E\x02!\x00\xbcL\xae\x0b\xb2\xc9/6$t\xd5\xb1.\x0fAk\x82v\x9b\xc6\x12C~\x86\ts1\xc9\x11\xc1\xce\x8d\x02 \x0e\xac\xb8\xb0U\r\x9f\xd0\xa0<\x03\x88\x8f\x9c.\xa8\xe4\x16\xaf\x89_ \xb1\xe5K\x053F\xe7\xbb\x18\x05'"
"The road to success is never a straight line—embrace the detours.","b'0E\x02 r\x1cZ\x84\x0b\xf4\x88\xd2J\xe4\n\xae\xdbC\x17h)Z\xc2g\xf4\xfd\n`\xe8\x9e{\xec\x1908\x8f\x02!\x00\x89Y\x9d\x94[\\\xb6\xa0\xdf\x0e+\xabe}\x93\x1b\xeb\xcf,\xa5pE\x08\x03M\x94\xf6\xedo\xed\xb8\xbc'"
"Every failure teaches you something new if you’re willing to listen.","b'0D\x02 p\xa6\xfa\xba6\xa1\xf8\x1d\xe0D\x04\x16\x8ea0\xdfu4\x1e\xc2\xb2\xa6\xa1\xda\xd9\xac^4b\xd9\x99\x1f\x02 G\xc7\x1d\x1dY\xc0\x17p\xe1]-\x1a\x08\xda\x80:Tt\xe1\xb3\xfa\xdf\x11\'m\xd20\nHk)""'"
"Focus on becoming better, not just proving that you're good.","b'0D\x02 &td`\xb7\xf9\x8d\xe96\x81G5NX\xc3.]\xac5\xe3c\x92\xca\xcce\xb7:\xe4`\xa40j\x02 \x1a\xcc\xa8\x83cb7\xfaYR\xf4\xfe/\x94\x06PgR\xfb0\xbf\xdc\x11}\xc5]<\xf8A\xb6\x9b\x87'"
"Your journey is unique; stop comparing it to someone else’s path.","b'0D\x02 o|/\xd5\xb6w\x84\xa0i\x8b:0\xf9Re\xec\xb9U\xd1N\x1d\x07\xcaz\x8b\x90&\x15\x83_l\x97\x02 )\x01\xedk\xd2\xc8\xce\xfa\x00\xebo\xfd`\xf0$\x81\xbf\\\xf4\xc6n\x8d\xb2\x99\xe7\x1b\x0e\xfc#Q\xbe\x92'"
"Sometimes, rejection is just redirection toward something better for you.","b'0E\x02 PhB\x16\xf4!Q\xc10\xeb7\x13wg\x0b!Q\xe3>\xeeg\x84\xbfx\xadO\xc8\xf8\xcb\x1b7?\x02!\x00\x97\xf4<\x07N^\xba\xcc\xdf\x9b_\xd5\x8f@/\x81\x9c\x88p\xd0\x84}q\xbdxI\xb8\xdeY\xf8\xa38'"
"You attract the energy you put into the world—choose wisely.","b""0E\x02 m\\\x1b\ng}%\xd6\xfc\xcb\xbe\x87\x1b\x11W\xce\xb5\xda\xa8\xbbv*\xf3@\x19\xd0#\xaeb\xd1\x107\x02!\x00\xfb\x054}\xfcc'\x175\xec\xdc\x06\xf3\xb9\x17\x17\xf1a{\x8d\x85\x97\xa2d\xfe\x12:H\xba\xbf\xbf;"""
"Learn from the past, plan for the future, but live in the present.","b'0E\x02!\x00\xf1\x9d\xfd}\xf5\n\xd1\xa59\xa8\xfa\xf8@\xdcx\xb4F\xf3I\x7f3\x90\xd4\x85\xd0\x11\x91\xde~\xffK\xad\x02 d\xb1\xf2\xe2\xfc\xcfT\x01\xd3k\x96\xd6\xe3\xceny\xcfB\x17|\xf5{~\x17\xfdw\x93\xca^\xb1\x02\xf8'"
"Success is a series of small wins, not one big event.","b'0F\x02!\x00\xb5O\xb9^\xbd-R\x15A\xe9lM=\xe7\xba\xe5l8""\x84\xd1\xfc\xb6h\xa6=G\x1c.8d\xdf\x02!\x00\xad\xc2\xe1\x0eB_R*f\x95X\xfabri\x00\xa1o\x9c\t\x8d4\x8a\xa5}\xc0%\xb3\xc6\xd4!\xcc'"
"Passion makes the impossible feel achievable and the difficult feel easy.","b'0D\x02 }\xa47\xa9\xaeB\x87\xe9A\xcf\x12\x08=\xb3\x1bs\xf3\xfa\xe6\xe4\x07\xd0""\xc2\xc3\xa0I\x0cWW\x02\xeb\x02 _`3\xff\x88\xc5\xab\x07\xa8?oU\xc1\xd7\xde8N\xf0R\x80\x056\xce\xf9\x04e\xdb\xedt\xec\xffD'"
"Speak your dreams into existence, then take action to make them real.","b'0E\x02!\x00\xa8\xa5\xad\xa3ZY\\\xbe\xbc^$:W\xb6\xcb\xd4s7\xeb\x00W8\xd1f\xbe\x15#\xca\xfa\x14\xd4\x03\x02 b-\x92#\xd4\xfe\xd07JB\xab\xad@\xacg\xce\x08G\x0c\xb1\x87\xba\x85\x90,\x1b\trZy\xfd\t'"
"Sometimes, the best response is silence and letting actions speak.","b'0D\x02 1""\x0f\x94=\x1f\xabwr\xc5\x07\x9dM{\xf3\x7f\xbc\xdfTn\xee\x08\xc81\x14\x04\x04\x8a\x9dA<\x01\x02 M\xbe\xbe\xa6\xa6{\xad\x06t;p\xc7TH\xca\xb9\xb9o\xd0@\xa1L\x8bH\x18\x18\xe4\x12\xc4\xe5x\xb4'"
"You don’t need permission to chase your dreams—just start today.","b'0E\x02!\x00\xc0_\x19\xd5@{\xa7\x82\xf4p\xd1W\x80\x0c#\x1d\x985c\xb1\xc9\xc6{nbd\x7f\xf2\x0b\xc5n\xc8\x02 64\x95\xd4\xf1\xb7\x1a\xdc\xdd\x0eK9)\xff\x1d\xf1\xff\x18\x89\x886\xc3\xa6\x8agR\x98-7~\xe8\x1b'"
"A goal without a plan is just a wish waiting to fail.","b'0D\x02 R\x92\xcf2CE\x1a\xed\xd5+:5\xe7\xd6\x95\xc3\x03 Md""e\x08j\xe2\x00H\xcf\x01\x08\xde#\x02 Z\xd0\x905\xeb\xda\xab\xa1\x042\x82\x01z(\xfa\x90\x8d\x87@\xea\x12\x0c\xed\x02&\xf9`v\xf6\xbd\xc4\x15'"
"Knowledge without action is useless; apply what you learn to grow.","b""0E\x02!\x00\xc8\x1c\xbf\xa5\xe0\x06\xcf\x88\r\xe2Z\x16\xeb$\x9f\xc3H\x16\x180}9\xa3\xa5\xb3K\x8cJ\xd17\x14Z\x02 #B\xee\xe4\r\x1bK\x823\xecZ\x886e\xddK\xf9e\xb8'2\x83\xb4=\x90\x9a\xda\x1e\xa4VCJ"""
"The best way to grow is to challenge yourself daily.","b""0F\x02!\x00\xc7\x17\x9e\xef\x8dF\xef4\xea+\xa3\x9c\xe2a\xe2'\xfc6,d\xe5\xd4\xc9\xe6\x9c&&/5\xaf\x07\xc6\x02!\x00\xa9\xa68\x13\x02\xb80w\x15\xa1q\x16\x12\xdb\xf5]\xfaz\xbf\xa26F\x83`N\xfe\x00\xbb\xe5\xe0\xc2I"""
"Real strength is shown in how you handle your weakest moments.","b'0F\x02!\x00\x86\xb2\xdc\xfaq:\x9fW`\xc1\x96.\xb3\xb1e\r\x9c\x10\xbeT\xfb\xee\xd9:T\x1eP\xbe\xfcT\xa7\xc5\x02!\x00\xa5\x9d\x96\xbb\xca\xf5\x1f>Gs?WlR0&\xefS\xa4\xe7^\xfb\x11\xb3V\xc5\x04\xcf\xfdi\xc3\xd0'"
"Keep moving forward, even if the steps are small and slow.","b'0F\x02!\x00\xeb\xdf\xc4\xea\x08\xe1@\\D98\x16z\xad7\xca\xf8\xc2c\x9b\xc1\xe4\xce\xf8:c\xd3A\xf9\xc4y_\x02!\x00\xbc\xd5\xadv\x94\x15\x95\x11@\xe1\xb5o""_\xa8=(yB\xdc\xad\x19\x05@\x12sED\xacg\xc1>'"
"The key to happiness is mastering your thoughts and emotions.","b'0E\x02!\x00\xa8\x1b\xb4le\xa4\x93\x00\xbex\xa5\x99<\xb9\xaa\x04V\x1b|$\x1a|\xaeD\x18N\xfd\xc2+\xe5\x16\x8a\x02 9G F\x8a\x14R\x94\x15\xae\xfeLH\xdb4\xe5\xd1&\x81R\x16\xef\xc3\x9fn\xc6\xfa\xcb\x87\xef\x0c\x00'"
"Take care of your mind and body; they carry you through life.","b'0E\x02 ""&:\x88\xa7i/\x97I\xe4\x0b\x12\x1bQg\xa3M1n\x06\xf4\xcb[w\xa8\x80\xcf]\x88\x0e8\x1f\x02!\x00\xf8\xfb8\xffl{AD\x036\xddY\xd5\xf4ON\xaa\xc1\x0el\x8d\x8f\xa7\xf8>\xb9V&\xf5V%A'"
"Sometimes, slowing down is the fastest way to move forward.","b'0E\x02 :\xd0\xa2\x0fz\x00Pj\xb4\x0f\x08Q\x15\x8e\x9a\xa0\x0e\xf12\\\xdb+\x05\x1c\xf8W\xc4\xec\xe7\x12\x9e\xca\x02!\x00\x8f\xd5\x1ar\xd8\xdb\xacHw*\x9f\xacE\xdc\xc6\xfcN`\xd4Z}\xff\x01\x11fN]\x99\xac\x90DK'"
"The world needs your unique talents—don’t be afraid to share them.","b""0D\x02 B\x8a\x1dr\xce\xee\x97\x96\xb0\xc2q\x1b\x14?{a5U\xd8.l\xab\x8f\x11\xd1\t\xe6v\xe7n\x1b-\x02 +\xcc\x92\xf9\x9c*Ojl\xdcNh<\xe0\xbc)&'\x9a\x80\x94\x05K\x08p\xa3F\x06\x8a9\xc3\xd7"""
"Stay humble when you succeed and resilient when you fail.","b'0E\x02 V\xaaI\x1a\xdb\xc2\xbd:yN#*`D!$\xfa\xad\x89\xd4@\xabNv\xec\xea}kv*\x03i\x02!\x00\xe7\xf0\xd7\xe6\xb6!\x81\xdf\x10\x024\xde\xde(\xfe\x9a\xc6^\x90\x9fH\xbe\xc2\xc3]\x85E\x91W\xcb\xbb\xd1'"
"In the end, the love you give is what truly matters.","b'0F\x02!\x00\xe9\x11\x12a\x86,\xb5\x9c\xfbbk\xfc\xac\x13d\x9bx\x98\x9dESH\xcc\x8b\xbe\xa3\x0e;\x85\xc5\x98\xc3\x02!\x00\xe5- p\xf7\x87\xdc7\x17\xb4\x7f\xd7)\xe9m\xd0\xa0\x04MT!M\x1b\xb1q\xb2""\xca\xcb\xd2a\xe7'"
"History teaches us that those who ignore the past repeat its mistakes.","b'0F\x02!\x00\xa1\x13@\x90h\xf6\x95p\xb4yA\x0c.?\xa3\xb3\x8b3\xd6U\\\\\xad\xe8X\x9fc\xfb\xdb\xde&\xe4\x02!\x00\x86m\x9a\r\xcdi\xe5\xd3\xa7\xb0\xdeCO\x14\x01\rN\x17,\xf5I\x87\xac|R\xc5j\x98\xb8(%='"
"The greatest civilizations rose and fell, proving that nothing lasts forever.","b'0F\x02!\x00\xca\x91H\x06Fc\x98\x8a\xc5%\x82/\x9c\xd9\x86_\x98\xde@W!P3\xfdpQXld&\xec\xc7\x02!\x00\xfb\xdd\xefJ\x98\xcd0n2\xb9\xde\x82^\xd1c\x13]\x7f\xb0\x89\xe8%\xcb\xdc\\D_H\xd3\xbb\xcf\x0c'"
"Every revolution starts with an idea that challenges the status quo.","b'0E\x02!\x00\xb7\xb9\x10\xcc""\xa0Z\xf1\xdc\t\xbd\x1b\x0b\x1c9\x11\xa4\xe9U\xe9\xc2L\xa6L\x19\x13\x1ct\x01\xb4g`\x02 c\xe2yL\xf5\x047\x8fg\xe5\xb2p\x86\xde\xb5\x00\x1b\xa21T!5plJ\x92\x05\xa5)F\xc6U'"
"Empires collapse when corruption replaces wisdom in leadership and governance.","b'0E\x02!\x00\x96\xc4\x07\xd2?\xd3\xed\x89G\xd0(\x05s\xf6Z\xb2\xeb\x87\xed\xc9\x90\xbb<S\x0c\xack\x87a7.\xb8\x02 B:\xff\x8d\xda:0\xd1\xef\x00v\xbf\xf8\xb2\x1f3RfN\xf2\xc7\x1eh|aX\xe0\xfb\t\x12\x0bX'"
"The victors write history, but the truth often remains hidden beneath.","b'0E\x02!\x00\xaa\xbcv\xfa\xbfL$\r\xa1`\x0b\xa5\xc7\x92\x11)\xa6uK\x9f4\xd7\xfaiBjf\xff\xbebKb\x02 8|\xf1\xc4<5\x8f#\x84t3\xbe\xd8""G\x10^\x89\xe2\xd064~\xa4\xb7;\x93l\x12\x1e\xef\x12'"
"Human progress is built on the successes and failures of past generations.","b'0E\x02!\x00\xfd\xb15\x08\x8e\xf0\x96\x81|\x08\xf3\xbd\x1f3|O)\xcc\xb3\xaa\xb4\xb7a\x8c\x83\xac\xa6\xa2\x9a\x80H\x92\x02 Y^\xd0\xbd\xa8Oh\xf5&\xccH\xf4\xf5EGA\x99\xfbD7\x85M\x87 \xc5\x88\xef|c\x01w\xab'"
"The Renaissance revived art, culture, and knowledge lost during the Middle Ages.","b'0F\x02!\x00\xa3\xfbN\x14\x8bjC\xc0\xbdE+\xe3\xdf\x9d\xf4\xf0V|\xf1\xd5\r\x0f7?\xa7\xa1p,Fa\x07;\x02!\x00\xcf\xc18\xd1l \xd4ot\xd9\xd2O\xf6\xf0\x8f\t\xa0C\x7fx K%\xf5\t\xdf\tZ\xd4\xb9\xdaf'"
"Ancient Rome’s laws influenced modern legal systems across many nations today.","b'0D\x02 \x16|au\xd1q\xc9\xd5\xff\x7f\x99no\xe0R\x82\x0c\xb2d\x83?\xc2\xc2\xce\xcb\r\x87\x8e\xdb.x\xb0\x02 \x1c\xd7 rG\xed\x1aGFX\\\xba\xd3\xd4\xaf\xa5\xeb-[9G\xe8\x8d\x1b\xd0x^\xa1\xe1\x84\xe9\xc2'"
"The Industrial Revolution transformed economies, but also widened the social class gap.","b'0E\x02!\x00\x8a\xd7\x08\xa6\xc3\x9et\x85!\xc6\xa4\xa8\x8c\xa5\xf4l3\x0f7\xd8h\xac\x10q\xb749r+\x18\xeb\x14\x02 \x18\xd6\x0cB\xafD\xac\xf0\x13\xe7\xaaK\xb4\x07Ve\xe2\x89\xd0\x0c\t\xbc\xadPB\n|i\x9am6{'"
"The Great Depression reshaped economies and changed government policies worldwide.","b'0F\x02!\x00\xc8V\xd0j\x9b+\x15{8iAvl\x94fljj\xac\xca\x82\xbd\xbcS\xdc\xef\x1f\xd4\xe6~\x0c\xa7\x02!\x00\xdb\x90\x85\xe4\x01\xd0z}\xd8\xd7B,\xe2b3\xe9\x92s\xc5\xf9.\xb2\x97\xb2\x07p\xda&\x84\xd2\xef\x04'"
"War has shaped borders, but peace has shaped civilizations even more.","b'0E\x02!\x00\xb7qJL\xab\x0e\x0b\x8c4\x91\x95\x90x\x0f\xe5\xea \x8a\x02\x0c\x9d\x1c\xc6\xf2\xb8lQ@\xedgR*\x02 \x18\xbd\xef\x12\x17yy\x97\x8d\xff\xa2\xe0\x85U\x17\x0f\x8b\x9b\x97\xcft\xd1\xff5&?h!\xa19\xd6\xf4'"
"The fall of Constantinople changed the course of European and Middle Eastern history.","b'0E\x02 \x0e\x15\xcd\xf1e\xbc\xc6\xe1\xc1.\xfc\xcas\xee$\xda\xdd\xb0r\xec\xf8\xc8q\x82\xef\xd1\xdbh?\xf9\xb5\xd6\x02!\x00\xc3\xb1\xf9Wp\xb8X\xe8\xa60\xc4*\xaf\x9d\xa3\xd6\xebgS\xad\x14\x02\x00\xbfs\r\xdb\x06\xf5r\xaaa'"
"History’s greatest leaders often faced the toughest opposition before achieving greatness.","b""0D\x02 c\x03q'\xf8G(<\xcb\xc3\x1d\xe3\\\x85\xb1dj\xdb\x1a\x01\x07`\xfaZTd\xb6\xcb\x1bX\x0b\x05\x02 6\x80\x7fs\xb0L!G\xc2\x0f\x1f}\x19\xdb\xd52\xc9\x052\xb1\x03\xd8\xbc\x90\xaf\xdb\xc1\xea$D\x84I"""
"The Cold War was fought with ideology, fear, and political maneuvering.","b'0F\x02!\x00\xfe\x1f\xba\xaa\x8a\xef\x1a\xcb\x8f\xb6$\xe9\x87jC\xea\'p\x12\x8d\xfe\xa3Tp\xe8\x9f0UwV`\xa2\x02!\x00\xb2\xfdi\x8e7^G>\xb0\x8a2\xe4\x84Hn\x93\x7f\x91""\xd3\xd5k\x9c\xee\xd4\xc2C\x04\xbb\x14\x01\xb1'"
"The Silk Road connected cultures and created the first global trade network.","b'0F\x02!\x00\xd0z\xe9\xf2\x80\x14{\x92g\xb0\xf0\xb2\xd9N\x93\xfe\xdc\xc3\x93\x03Q\xb3\xc2\x04#$\xc0\x86T\xed\xb1n\x02!\x00\xbe0\x82R7,\x83Gz1\xb5\xa2\xb0\xed\x98-\x9f\x04\xf5\x12\x1d\r7\xb5\x11|\x90\x0cT\xe2v\x94'"
"The World Wars reshaped national boundaries and changed world power dynamics forever.","b""0E\x02 5\x9a\x12\xa5\xaey\x97\xf2\xef=\xfc7K\xd5\xfd\xeb\x90p\x94\xd7\x97\xa6\x8a\xea\xf4lH\x16#\x95\xdap\x02!\x00\x91\x9e\xe0\x93\x018t`\xc8:X\xcdB2\xda\xcf7R\xeb\xef'\x94\xd5\xcbx\x1c\x0c{\xf6\xdf\x84\xf1"""
"The Great Wall of China symbolizes both protection and isolation from invaders.","b""0E\x02!\x00\xfe\xa9\xbb\x8c\x15kz\xda\x80u\xee\xd0\x8f\xf5`\x00\xc5r)uq\xa3B\x99\x08o\xe2\xdf$e\xb2z\x02 '\x8f\xe2r\xa6\x82\xdc\x9b\x0c\x01\x97L\x97Lv\xb8\xe2E`\x8c,\x1d\x07k\x9b\x11\x97\x0c\x9e\x15\xf6\xc0"""
"The creator of ChatGPT, OpenAI, is teaming up with another US tech giant, a Japanese investment firm and an Emirati sovereign wealth fund to build $500bn (£405bn) of artificial intelligence (AI) infrastructure in the United States.","b""0E\x02 v9\x8d\xaaN\x80#\x9c5'\xdcs\x13\x14\xb1\x9d\x8d};\xfb\xe6)\xa4(\x80\x96$\t\t\xbb\x86M\x02!\x00\xd8\xd2\x8fy\x1ab\x04z\xd6\x96\x00L\xf2\x8c\xffc\x1eF/>m\xa4\xcf\x12\x05#\xefF\x13\x92\x89\xad"""
"The new company, called The Stargate Project, was announced at the White House by President Donald Trump who billed it the largest AI infrastructure project by far in history and said it would help keep the future of technology in the US.","b'0F\x02!\x00\x93L\x98\x81\x88J\x80.5\xa7\xf3B\xb6\xb1 \x82\xea\xb5\xe6\x93\x8d^W:\xbfI!!\xed\xd6\x0e\xb3\x02!\x00\xc7\xcb\xb0\xd7\x10\xd8\xea\xd7\x90\xcb\xba\x88\xf5^\x19\xb5\x95\x80\xb8\xe7vmb\x1d\xe9no\x94\x062\x7f\xeb'"
"But Elon Musk - both a top adviser to Trump and rival to OpenAI CEO Sam Altman - on Wednesday said the venture does not actually have the money it has pledged to invest.","b""0E\x02 Y&\x81\xec\xdek\xdd\xab\xf7\xc7\x96\xc3'GS\x9dJ)\x13\xf2\x9c\xc4\x12\xc0\xe1\xb9\xc7\xfa\x07\\\xa0\xa6\x02!\x00\xdb\xd43\xc96\xa00.\xed\xf6@'\x82\xd9\xa6\x8aX0\xbe|\xfc\x0f\xc7,\x93$\xb7\x9a\xbfXa\xfe"""
"Investment in AI is currently exploding, driving demand for new data centres while also raising concerns about the huge amounts of water and power the facilities require.","b'0E\x02 c=A\x9b{\xca\xc2\\\rL\x11\xfd%\x10\x97s\x8f\xeb\x01\xe0\xea\x0f\xcd\x1a\xd1Sb\x19\xc5\xe7\xd7\xb6\x02!\x00\xc3\x17\xe9\xdc\x12p\xe8\xe4-,\x9a\x07UeA\xaf\x95:\x82\x96Hr\xfe\xac\x02\xc5\xae\x9aJ\xb8\t\xfd'"
"The venture is a partnership between OpenAI, Oracle, Japan's Softbank - led by Masayoshi Son - and MGX, a tech investment arm of the United Arab Emirates government.","b'0D\x02 5\x86\xdc20\xf6z\xd8\x9d\xfb\xae\xd2\xc4\x1f!\xc7g\xf9\x91\xe7E\x00p\x82[\xfc\xb9\x9c\xd0Ny\x96\x02 z,lg\xc5\xad\x84\xd4\xd0\xc5\x13o\x1e\x1d\xd7\x01{9#J\xe0\xdf\x93qKY\xa8\xe4&D\x87\xca'"
"The companies said the new venture, which was in the works before Trump took office, had $100bn in funding available immediately, with the rest to come over four years, creating an estimated 100,000 jobs.","b'0F\x02!\x00\x93\xcf+\x95R\xc1\xa2\xf8$~\x89\x13\x13\x9ab\x17\xc8\xc0%\xc5.\xbajg\x10 \x8d,\x03Rd\xc1\x02!\x00\xae\xec\xabG\xf6\x98:\xb9\x7f\x98k\xff\x1a\xf5\xeb\x16\xca\xf1\xf1TZD\x92\xf4\x80\x90X\xf0I^\xf8\x07'"
"Commenting on a post on X where OpenAI detailed the plans, Musk, who owns the platform, wrote They don't actually have the money.","b'0F\x02!\x00\x8d\xc1\xdb\x1a\xe5t1\x8caL\x16\r\xbao\xda\x81\xf6\xc2zYV\xa3RI\x0f\xbc\xbb\xb4\xd4\x07\xd8\xc6\x02!\x00\xaf\x08\x0c_\xc3\xaf\xf9\x0e\xa9[\xb3\x13k\x81\xb4\xeb\x9b.\xe4\xc4\x03\xa2\xa9P\xbfS\x8b\x0e@Z\xfc\xb4'"
"I realize what is great for the country isn't always what's optimal for your companies, but in your new role I hope you'll mostly put US first.","b'0D\x02 I\xd1\xd6\xf5b\r\x8f4\x99\xe4x\x18\xd6\xc9\xa2l\xb0\x8c\xaf98\x9by\xdew\xc2aP\x08\xc4\xbe9\x02 2\x80M*\x83jt\xc8L\xd3 \x8fkk\x1d\x8a\xef$\\f\xb8i\xdc\x88\\\xea\x06D\xb9\xe8\xc3\xd8'"
"He, though, has also been feuding with Altman since leaving OpenAI's board in 2018 and launching his own AI start-up.","b'0F\x02!\x00\xf8\x1a\xbb\xd9\xd6\xd5\xb0\x8d\x90\xe7\x8am\x97\xb2U\x14\x16\x12Z\xc1Cc@J\xaa\xfb^;\x90gv\x90\x02!\x00\xdf\xfb/H\xa2(\xc2\x0b\xa8&y\x81\x80\x87nM\x97\xb7\xbb\xa6\xb6\xf2:\xf7peu2\x06A\x06\xd4'"
"A source close to Stargate said it was not clear where Musk had gotten his information and that the company was well-positioned to deploy $100 bn.","b""0E\x02!\x00\x8a\x08'\x82\x10\x16\xe6\x97\x0b\xc1/^I\xe0\xb8\x84\x02E(\x9b\xa3\xe01\x86\ns\xfe\x11'#Y\x93\x02 T\x83\x08\xe1\xf9 \x87\x16\xa0~\x7flp\x01\xd6x\xb6h\xc7\x11\x0e!\xac\xdaG\xb1\xb8\xadDP\x8b\xe1"""
"Stargate's first data centre is under construction in Texas, according to Oracle's chief technology officer, Larry Ellison, and more will be built in other US locations.","b'0F\x02!\x00\xd4\xe3\xb01\xbb\xce\x10""\x07e\xdeH\x00\xf6:b\x8a\xaf*\xf7s\x05y\xfb@\x84\xf8\xb4\xe7\xd2\x8d\xba\x02!\x00\xc0<\x9a\x91\xfd4\xc2:\x8d\xe5\xcfi2|\x84\x1b\x84tA\xc0U\xc5\xc1b\xb8>\xcaJ\xdc}\x82\x0c'"
"I think this will be the most important project of this era, said Altman at Trump's Tuesday announcement, standing alongside the President at the White House.","b'0E\x02 \x18d\xafH\x02\xdbu\x10E6x\xb2:\xcd\xe5\xc6\x06z\x0bC\xb9pcf\x05U\x0f\xecT\xe3\xd0\xfc\x02!\x00\xd9.\xf3\x17\x97c\xf7]\xbc\xf4\xf6\x91\x03m\xfb@\x9d\x81:\x8d\xe0\xa7\xfb\xf7 \x03\x92\xa4R\xee1\xec'"
"We wouldn't be able to do this without you, Mr President, he added, even though the project was underway before Trump won November's election.","b'0D\x02 \\Ql\r\xa7\xe4\x1d\x8fxL;\xd6\x12\x93\x8aI\x8b\x87B\xc8z\x1c=\x98a\xa0\xf7\x93^\x0e?\xfa\x02 1\xc9\xcc\x13\xf4\xf2d\x7f*(\xaa\x87,^o\xaa\x8d\x16N\xb6\xdd\x99\xeb\xe2\x19j\xdaUX\x103\x15'"
"'Most important project of this era' The US is already the world leader in AI investment, vastly outspending any other country, and its big tech companies have been making major investments into data centres in the last year.","b'0F\x02!\x00\xe1\xe4\x01K\x14\x04\xf6FDK\xef v_\x8fg\x92\x8e\x0f\xa4\xc1\xc4\x86m\x81]8\xd3\xae,\xe6\xeb\x02!\x00\xe2\xb768\t;\xe5\xacEv\xb8\x14\x16\xecG\xd9\xef\xf3}\x16\xe3\xd7\xf1\xd5\x05\x0eKN\x82\x98\x16\xfa'"
